Id,Iq,Lambda_d,Lambda_q
-63.89909821344177,23.257369746145486,122.95,119.01
-95.84864732016266,34.88605461921823,63.84,171.84
-127.79819642688354,46.51473949229097,7.09,219.76
-159.74774553360442,58.14342436536371,-46.36,256.49
-191.6972946403253,69.77210923843646,-97.46,284.41
-223.64684374704618,81.4007941115092,-144.58,308.28
-255.59639285376707,93.02947898458194,-186.99,330.64
-287.54594196048794,104.65816385765467,-227.45,351.2
-319.49549106720883,116.28684873072741,-264.33,366.35
-0.0,0.0,251.06,-0.02
-32.84147809382832,8.799847533485714,183.4,46.62
-65.68295618765664,17.599695066971428,118.96,90.41
-98.52443428148496,26.399542600457142,58.02,131.06
-131.3659123753133,35.199390133942856,-1.07,169.1
-164.2073904691416,43.999237667428574,-57.91,201.82
-197.04886856296991,52.799085200914284,-111.36,226.56
-229.89034665679824,61.5989327344,-159.1,247.84
-262.7318247506266,70.39878026788571,-202.84,266.45
-295.5733028444549,79.19862780137143,-245.16,283.09
-328.4147809382832,87.99847533485715,-286.03,297.38
-0.0,0.0,251.06,-0.02
-33.48346360241507,5.904038040675629,182.07,31.29
-66.96692720483014,11.808076081351258,116.18,60.99
-100.45039080724521,17.71211412202689,53.82,88.79
-133.93385440966028,23.616152162702516,-6.9,114.76
-167.41731801207536,29.520190203378146,-65.98,138.79
-200.90078161449043,35.42422824405378,-121.86,159.19
-234.3842452169055,41.32826628472941,-170.65,174.89
-267.86770881932057,47.23230432540503,-215.74,188.57
-301.35117242173567,53.13634236608066,-259.46,201.15
-334.8346360241507,59.04038040675629,-302.4,212.74
-0.0,0.0,251.06,-0.02
-33.87061973511935,2.9632952534203785,181.29,15.68
-67.7412394702387,5.926590506840757,114.57,30.83
-101.61185920535804,8.889885760261135,51.23,45.15
-135.4824789404774,11.853181013681514,-10.55,58.1
-169.35309867559675,14.816476267101892,-70.7,70.2
-203.2237184107161,17.77977152052227,-127.77,81.8
-237.09433814583545,20.74306677394265,-178.37,92.11
-270.9649578809548,23.706362027363028,-225.09,98.99
-304.83557761607415,26.669657280783408,-270.13,104.01
-338.7061973511935,29.632952534203785,-314.29,108.34
-0.0,0.0,251.06,-0.02
-34.0,4.1637991171010006e-15,181.03,-0.04
-68.0,8.327598234202001e-15,114.05,-0.05
-102.0,1.2491397351303002e-14,50.33,-0.05
-136.0,1.6655196468404002e-14,-11.86,-0.05
-170.0,2.0818995585505004e-14,-72.31,-0.05
-204.0,2.4982794702606005e-14,-129.6,-0.06
-238.0,2.914659381970701e-14,-180.66,-0.12
-272.0,3.3310392936808004e-14,-228.72,-0.15
-306.0,3.7474192053909006e-14,-275.03,-0.12
-340.0,4.163799117101001e-14,-319.41,-0.11
