Angle,Phase A,Phase B,Phase C
3.411999999999999744e+01,4.685908541826371732e+00,1.727429653805421905e+00,-6.685594558248824981e+00
3.561999999999999744e+01,3.546906199221658174e+00,2.034004427535494930e+00,-6.763544167562368870e+00
3.711999999999999744e+01,2.552358261089569869e+00,2.268036838165063518e+00,-6.827123217439178049e+00
3.861999999999999744e+01,2.121994664085920856e+00,2.987250229593226614e+00,-6.827050096776969390e+00
4.011999999999999744e+01,1.933479361599239166e+00,4.142907954200332199e+00,-6.761628254767500401e+00
4.161999999999999744e+01,1.416297127321281657e+00,5.090865247172308372e+00,-6.652870634106313297e+00
4.311999999999999744e+01,6.280619678634326020e-01,5.481239281993151025e+00,-6.328763978709559090e+00
4.461999999999999744e+01,9.333236216657926632e-02,5.671170193768634959e+00,-5.862746856148413954e+00
4.611999999999999744e+01,-3.076782971960130841e-01,6.093687933594106099e+00,-5.574837734609165985e+00
4.761999999999999744e+01,-1.015892240942474656e+00,6.516649996949009704e+00,-5.347735184725683766e+00
4.911999999999999744e+01,-1.729408922866737308e+00,6.721695655631506838e+00,-4.689641039963378333e+00
5.061999999999999744e+01,-2.038439157161950455e+00,6.813225235411093372e+00,-3.552852972771518125e+00
5.211999999999999744e+01,-2.266160989571075923e+00,6.835651225112441942e+00,-2.555619731372969827e+00
5.361999999999999744e+01,-2.979318229297118314e+00,6.802290996645276699e+00,-2.123250858515376205e+00
5.511999999999999744e+01,-4.140537842952153547e+00,6.728675092390469459e+00,-1.932019487592955720e+00
5.661999999999999744e+01,-5.084944319489655307e+00,6.617714315410445636e+00,-1.414867756637484542e+00
5.811999999999999744e+01,-5.468404331263448270e+00,6.299032808814031270e+00,-6.316919999969751176e-01
5.961999999999999744e+01,-5.664841250675642925e+00,5.833964438700504296e+00,-9.956891182558627595e-02
6.111999999999999744e+01,-6.064635098459550733e+00,5.537375621046835228e+00,2.968878188453863420e-01
6.261999999999999744e+01,-6.491483296518293145e+00,5.318792033528676022e+00,1.003795096410095677e+00
6.412000000000000455e+01,-6.703078698720237760e+00,4.673947686731172446e+00,1.722223438750508651e+00
6.562000000000000455e+01,-6.783137931729823933e+00,3.541137422949867553e+00,2.034209679262823034e+00
6.712000000000000455e+01,-6.833891726156580582e+00,2.548240350568504287e+00,2.264942409951538949e+00
6.862000000000000455e+01,-6.818425930985425154e+00,2.120367700859286941e+00,2.977954125930969642e+00
7.012000000000000455e+01,-6.740761126619543298e+00,1.929514058853481595e+00,4.126855261652322859e+00
7.162000000000000455e+01,-6.625189385452562973e+00,1.406485040360354377e+00,5.065634762878842956e+00
7.312000000000000455e+01,-6.300840795740870526e+00,6.172005005212040096e-01,5.440389784757130087e+00
7.462000000000000455e+01,-5.838426908495081946e+00,8.079084944945727487e-02,5.650455934793038537e+00
7.612000000000000455e+01,-5.560143151259856253e+00,-3.153728450360364644e-01,6.074391897153147646e+00
7.762000000000000455e+01,-5.340876024841679559e+00,-1.014613557262171062e+00,6.487396975344981165e+00
7.912000000000000455e+01,-4.684777200649866025e+00,-1.726978485766677451e+00,6.683451834219114041e+00
8.062000000000000455e+01,-3.546507162867605700e+00,-2.035280679425135908e+00,6.764096747440815349e+00
8.212000000000000455e+01,-2.551960198378255829e+00,-2.267526531685790214e+00,6.827048838637464812e+00
