Angle,Phase A,Phase B,Phase C
3.450000000000000000e+01,4.426108162462835338e+00,1.843183378945182582e+00,-6.705014867977726389e+00
3.600000000000000000e+01,3.255178703060081169e+00,2.072422199450727032e+00,-6.783243765270226433e+00
3.750000000000000000e+01,2.389038184326680803e+00,2.392148004255394422e+00,-6.832857724645444719e+00
3.900000000000000000e+01,2.077526284715009552e+00,3.256551876924004940e+00,-6.811665071764592128e+00
4.050000000000000000e+01,1.846650007086917844e+00,4.429963032053585437e+00,-6.745500403068505513e+00
4.200000000000000000e+01,1.219854454259883036e+00,5.239134712153239448e+00,-6.596198867766303486e+00
4.350000000000000000e+01,4.557672699563268259e-01,5.528738257090020092e+00,-6.215525165050682865e+00
4.500000000000000000e+01,1.099230724526919882e-03,5.753357701838909044e+00,-5.764437675307313214e+00
4.650000000000000000e+01,-4.544493179083002321e-01,6.216619500389540143e+00,-5.528228636193033729e+00
4.800000000000000000e+01,-1.220789602818185049e+00,6.608648336609954654e+00,-5.240340233738907116e+00
4.950000000000000000e+01,-1.846253493473027474e+00,6.743997929473591668e+00,-4.431802589068161602e+00
5.100000000000000000e+01,-2.076289161310065801e+00,6.809679303358696423e+00,-3.256441161164723486e+00
5.250000000000000000e+01,-2.386765896409069221e+00,6.832057130330190020e+00,-2.392936808258350645e+00
5.400000000000000000e+01,-3.254816981067492954e+00,6.790485004224542820e+00,-2.075895106244149080e+00
5.550000000000000000e+01,-4.428206998273139128e+00,6.705964646850676836e+00,-1.843343561077359860e+00
5.700000000000000000e+01,-5.229712606224214078e+00,6.559655064435369276e+00,-1.222717336877921612e+00
5.850000000000000000e+01,-5.511820363725723482e+00,6.184966990664447550e+00,-4.607997843979380614e-01
6.000000000000000000e+01,-5.740592232141707996e+00,5.732302402767093241e+00,-9.424538193624222224e-03
6.150000000000000000e+01,-6.189593771690917734e+00,5.495987166768397714e+00,4.436372202075939408e-01
6.300000000000000000e+01,-6.568705795423406713e+00,5.210696542225660366e+00,1.209715293452475748e+00
6.450000000000000000e+01,-6.721838931732341926e+00,4.415791124742446172e+00,1.839391601036917345e+00
6.600000000000000000e+01,-6.790279566248794474e+00,3.249372737808557954e+00,2.070930011752870392e+00
6.750000000000000000e+01,-6.839118831308815594e+00,2.387654601085851702e+00,2.386683699214731558e+00
6.900000000000000000e+01,-6.816106842538883548e+00,2.074260979357735568e+00,3.252655938198630192e+00
7.050000000000000000e+01,-6.718735624210078861e+00,1.840988815647340182e+00,4.411415690390265709e+00
7.200000000000000000e+01,-6.563602166825027062e+00,1.210188710147629410e+00,5.208563874328272725e+00
7.350000000000000000e+01,-6.187992434931226526e+00,4.427951786300701742e-01,5.496600870748132195e+00
7.500000000000000000e+01,-5.739997473143049866e+00,-9.012491504698920755e-03,5.730618632321169414e+00
7.650000000000000000e+01,-5.515007027455939514e+00,-4.576008135643055419e-01,6.185412595154124560e+00
7.800000000000000000e+01,-5.231057506542214242e+00,-1.220692577528942779e+00,6.561025082221572546e+00
7.950000000000000000e+01,-4.427045095338647762e+00,-1.844488629330675700e+00,6.706781318570174122e+00
8.100000000000000000e+01,-3.255094040312516590e+00,-2.073739114855121635e+00,6.788246102768694890e+00
8.250000000000000000e+01,-2.389199284657979927e+00,-2.388984875273719499e+00,6.829703830488329075e+00
8.400000000000000000e+01,-2.077799749841274579e+00,-3.256205024821909877e+00,6.810020283873103430e+00
8.550000000000000000e+01,-1.848020475341880964e+00,-4.430840096357396618e+00,6.745884448218852469e+00
8.700000000000000000e+01,-1.221194372819388585e+00,-5.237078857942417009e+00,6.594956876825442293e+00
8.850000000000000000e+01,-7.763727617519819990e-01,-5.472712561749697890e+00,6.486249604254023637e+00
